"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Калькулятор","Арифметические операции","Сложение чисел","0","0","1","0","0"
"Калькулятор","Арифметические операции","Вычитание чисел","0","0","1","0","0"
